UF,Cidade
SP,SÃO JOSÉ DOS CAMPOS
MA,SÃO LUÍS
RS,SANTA MARIA
PA,SANTARÉM
SP,SÃO PAULO
SP,SÃO JOSÉ DO RIO PRETO
SP,SANTOS
BA,SALVADOR
PA,ORIXIMINÁ
BA,UNA
PR,TOLEDO
PI,TERESINA
AM,TEFÉ
MS,TRÊS LAGOAS
AC,TARAUACÁ
PR,TELÊMACO BORBA
RS,TORRES
PA,ÓBIDOS
AM,TABATINGA
PA,TUCURUÍ
BA,PORTO SEGURO
AM,SÃO GABRIEL DA CACHOEIRA
BA,PAULO AFONSO
RS,URUGUAIANA
MG,UBERLÂNDIA
MG,UBERABA
AM,COARI
MG,VARGINHA
RO,VILHENA
ES,VITÓRIA
AM,SÃO GABRIEL DA CACHOEIRA
SP,PIRASSUNUNGA
MG,GOIANÁ
SP,ARARAS
RJ,ANGRA DOS REIS
SP,CAMPINAS
SP,BEBEDOURO
SP,BOTUCATU
AM,SÃO PAULO DE OLIVENÇA
SP,SOROCABA
RJ,CABO FRIO
BA,CACULÉ
SP,BARRA BONITA
RJ,MARICÁ
SP,OURINHOS
GO,MOZARLÂNDIA
PA,OURILÂNDIA DO NORTE
RJ,MANGARATIBA
RJ,RESENDE
SP,SÃO CARLOS
RJ,PARATI
SP,UBATUBA
RJ,ITAPERUNA
SP,VERA CRUZ
SP,VOTUPORANGA
MG,JUIZ DE FORA/UBÁ/CATAGUASES
PB,CATOLÉ DO ROCHA
ES,ARACRUZ
SP,GAVIÃO PEIXOTO
MT,COLÍDER
MT,LUCAS DO RIO VERDE
AP,LARANJAL DO JARI
SP,FRANCA
DF,BRASÍLIA
BA,Maraú
PA,CHAVES
RS,ELDORADO DO SUL
MT,JUARA
AM,URUCARÁ
MS,BONITO
TO,ARAGUATINS
MT,CONFRESA
MT,COTRIGUAÇU
RR,PACAIMA
RR,CARACARAÍ
PA,NOVO PROGRESSO
RR,BOA VISTA
MT,COCALINHO
RS,RIO GRANDE
SP,AREALVA
PA,TERRA SANTA
MS,TRÊS LAGOAS
BA,PORTO SEGURO
GO,ARAGARÇAS
PE,ARARIPINA
BA,ADUSTINA
MG,JANAÚBA
CE,ARACATI
BA,JUAZEIRO
SP,BARRETOS
MA,BACABAL
BA,BARREIRAS
MA,BALSAS
BA,BRUMADO
PA,IPIXUNA DO PARÁ
PA,BAIÃO
BA,BARRA
PA,IPIXUNA DO PARÁ
PA,CAPANEMA
PA,RURÓPOLIS
PA,REDENÇÃO
BA,BARREIRAS
BA,LENÇÓIS
MA,TIMON
MG,DIAMANTINA
MG,DIVINÓPOLIS
PA,PARAGOMINAS
MG,ALFENAS
PA,SÃO FÉLIX DO XINGU
BA,GUANAMBI
MG,GOVERNADOR VALADARES
PE,SERRA TALHADA
BA,IRECÊ
CE,IGUATU
BA,IPIAÚ
BA,JACOBINA
BA,FEIRA DE SANTANA
BA,JEQUIÉ
MG,SÃO JOÃO DEL REI
PA,SANTANA DO ARAGUAIA
ES,CACHOEIRO DE ITAPEMIRIM
RN,CAICÓ
PA,PARAUAPEBAS
PA,MONTE ALEGRE
PA,ITAITUBA
GO,PIRENÓPOLIS
BA,MARACÁS
MG,JAÍBA
AL,RIO LARGO
BA,MUCURI
ES,SÃO MATEUS
PA,PORTO DE MOZ
PA,IPIXUNA DO PARÁ
PA,NOVO PROGRESSO
CE,SOBRAL
PA,ORIXIMINÁ
PI,PICOS
MG,PATOS DE MINAS
AP,PORTO GRANDE
MG,PATROCÍNIO
BA,MORRO DE SÃO PAULO
PA,BARCARENA
MG,SÃO SEBASTIÃO DO PARAÍSO
PB,SOUSA
PI,FLORIANO
PA,JACAREACANGA
CE,JUAZEIRO DO NORTE
PA,ITAITUBA
PE,CARUARU
PA,SANTARÉM
PA,SALINÓPOLIS
PA,SOURE
BA,TEIXEIRA DE FREITAS
PA,ÓBIDOS
MG,TEÓFILO OTONI
PA,TAILÂNDIA
PB,PATOS
MG,UBÁ
RN,AÇU
MG,ARAÇUAÍ
PA,ULIANÓPOLIS  
BA,VALENÇA
BA,VERA CRUZ
PA,BREVES
BA,VALENTE
PA,SENADOR JOSÉ PORFÍRIO
MT,QUERÊNCIA
PA,CHAVES
PA,ALMEIRIM
MG,ITUIUTABA
PA,MOJU
MG,POUSO ALEGRE
MT,SORRISO
MS,BODOQUENA
RS,BENTO GONÇALVES
RS,PORTO ALEGRE
SC,CAÇADOR
SC,CONCÓRDIA
RS,CANELA
MS,DOURADOS
RS,ERECHIM
PR,FRANCISCO BELTRÃO
RS,HORIZONTINA
RS,IJUÍ
SC,JOAÇABA
PR,CAMPO MOURÃO
RO,CACOAL
PR,LARANJEIRAS DO SUL
RS,ALEGRETE
GO,APORÉ
MT,SÃO FÉLIX DO ARAGUAIA
RS,NOVO HAMBURGO
MT,GUARANTÃ DO NORTE
SC,SÃO MIGUEL DO OESTE
PR,PATO BRANCO
PR,PARANAGUÁ
PR,PORECATU
RS,SANTA CRUZ DO SUL
PR,TOLEDO
MS,TRÊS LAGOAS
PR,UMUARAMA
PR,GUARAPUAVA
SC,VIDEIRA
RS,SANTA ROSA
RR,ALTO ALEGRE
AM,BARCELOS
AM,BARREIRINHA
AM,BORBA
MT,PEIXOTO DE AZEVEDO
RR,AMAJARI
MT,SORRISO
AM,CARAUARI
GO,CAMPOS BELOS
MT,ARIPUANÃ
MT,CAMPO NOVO DO PARECIS
RO,COSTA MARQUES
MT,BARRA DO GARÇAS
GO,SÃO MIGUEL DO ARAGUAIA
MT,DIAMANTINO
AM,ATALAIA DO NORTE
AM,EIRUNEPÉ
MT,CANARANA
RR,CARACARAÍ
AC,FEIJÓ
AM,MANAUS
MT,SÃO FÉLIX DO ARAGUAIA
TO,GURUPI
TO,ARAGUAÍNA
GO,PALMEIRAS DE GOIÁS
GO,SANTA HELENA DO GOIÁS
MT,ÁGUA BOA
AM,HUMAITÁ
AM,SANTO ANTÔNIO DO IÇÁ
GO,MINAÇU
MT,JUARA
RO,JI-PARANÁ
MT,JUÍNA
AM,JAPURÁ
MS,SELVÍRIA
MT,JURUENA
GO,JATAÍ
MT,CÁCERES
RO,CACOAL
GO,CALDAS NOVAS
AM,COARI
AM,LÁBREA
GO,RIO VERDE
MT,SANTO ANTÔNIO DO LEVERGER
MT,GUARANTÃ DO NORTE
AM,MAUÉS
AM,NOVO ARIPUANÃ
GO,ARUANÃ
AM,BOCA DO ACRE
AM,NOVA OLINDA DO NORTE
GO,NIQUELÂNDIA
GO,ANÁPOLIS
AM,FONTE BOA
AM,BARCELOS
AM,SÃO GABRIEL DA CACHOEIRA
RR,BONFIM
AM,PRESIDENTE FIGUEIREDO
AM,PARINTINS
TO,PALMAS
MT,PORTO ALEGRE DO NORTE
RR,BOA VISTA
MT,RONDONÓPOLIS
MT,ARIPUANÃ
MT,SINOP
AM,SÃO GABRIEL DA CACHOEIRA
AM,SANTA ISABEL DO RIO NEGRO
MT,TANGARÁ DA SERRA
MT,CAMPO NOVO DO PARECIS
GO,SÃO MIGUEL DO ARAGUAIA
RR,ALTO ALEGRE
AM,COARI
MT,VILA RICA
MT,SINOP
GO,PORANGATU
AM,BARCELOS
GO,URUAÇU
MT,MATUPÁ
MT,NOVA XAVANTINA
MT,POCONÉ
AM,APUÍ
MT,NOVA XAVANTINA
GO,USINA SÃO SIMÃO
